Place of Origin,TOTAL STUDENTS,Business/ Mgmt.,Education,Engineering*,Fine/ Applied Arts,Health Professions*,Humanities,Intensive English,Math/ Computer Science*,Physical/ Life Sciences*,Social Sciences,Other Fields of Study,Undeclared
Bangladesh,"8,598",6.2,0.7,42.5,1.4,2.9,1.0,0.0,18.7,15.3,5.9,4.6,0.7
Brazil,"14,000",23.0,1.9,14.4,7.3,3.2,3.0,1.9,7.1,9.8,10.1,16.9,1.5
Canada,"25,143",15.9,5.1,8.7,7.0,14.9,3.2,0.0,6.9,9.6,10.7,15.5,2.4
China,"317,299",16.6,1.9,17.5,6.0,1.6,1.2,0.6,22.2,9.1,9.6,11.5,2.2
Colombia,"7,107",18.1,4.5,14.9,9.0,3.4,4.7,3.4,6.4,10.2,11.2,13.2,1.0
France,"5,643",23.8,1.0,15.3,6.3,1.6,5.8,0.3,10.5,7.0,10.4,16.4,1.7
Germany,"5,364",27.3,1.4,9.2,4.6,2.4,5.6,0.2,6.7,10.6,15.2,14.4,2.5
Hong Kong,-,-,-,-,-,-,-,-,-,-,-,-,-
India,"167,582",11.7,0.6,33.5,1.7,2.6,0.5,0.0,34.8,6.6,2.9,4.5,0.7
Indonesia,"7,489",24.0,1.9,19.1,6.1,1.8,1.6,1.0,12.5,7.2,8.5,13.8,2.7
Iran,"9,614",4.5,1.3,49.8,5.2,2.2,1.3,0.2,14.1,13.1,3.8,4.2,0.2
Japan,"11,785",24.1,2.2,7.3,8.8,3.7,4.2,3.7,7.6,6.2,11.6,18.1,2.4
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,"6,846",13.8,0.8,61.5,2.3,3.1,1.1,1.3,1.6,5.2,4.3,4.2,0.7
Malaysia,"5,280",15.6,1.7,25.5,4.5,2.8,1.2,0.1,14.2,12.1,9.6,10.5,2.2
Mexico,"12,986",19.2,2.8,18.2,8.3,3.6,3.9,0.7,6.9,10.6,10.9,12.9,2.0
Nepal,"11,172",9.7,0.7,19.0,1.2,6.2,0.9,0.1,29.4,21.9,4.7,5.5,0.8
Nigeria,"12,860",12.2,2.3,22.0,2.2,13.5,2.5,0.1,12.4,14.6,6.7,10.6,1.0
Pakistan,"7,475",16.2,2.8,22.8,2.3,3.7,2.5,0.2,19.0,9.1,10.4,9.2,1.9
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,"21,933",15.3,4.4,30.0,2.5,10.6,1.6,3.8,10.2,7.1,4.3,9.4,1.0
South Korea,"39,491",12.5,2.7,14.8,10.5,5.8,2.7,0.6,13.5,8.9,12.2,13.7,2.1
Spain,"5,781",25.2,1.5,17.5,6.0,2.3,8.4,0.3,9.2,8.1,8.4,11.8,1.4
Taiwan,"19,673",17.0,2.0,19.8,8.1,3.8,1.3,1.0,16.6,10.5,6.3,11.9,1.5
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
Turkey,"8,109",11.5,3.1,28.0,5.1,1.4,2.4,0.6,13.4,8.9,14.0,9.9,1.8
United Kingdom,"8,028",18.0,2.7,5.7,7.3,3.8,6.3,0.1,6.5,10.1,17.6,18.6,3.4
Venezuela,"6,122",24.2,1.2,17.9,7.7,5.2,2.2,6.3,6.6,5.8,6.8,15.6,0.5
Vietnam,"21,631",26.9,1.0,12.4,4.4,5.4,1.2,1.4,17.8,10.4,4.9,11.6,2.6
